candidate_policy,reference_policy,candidate_budget,reference_budget,delta_policy_value,delta_policy_value_ci_low,delta_policy_value_ci_high,policy_value_bootstrap_fraction_positive,policy_value_conclusion,delta_incremental_per_1000_targeted,delta_incremental_per_1000_ci_low,delta_incremental_per_1000_ci_high,incremental_bootstrap_fraction_positive,incremental_conclusion,delta_hajek_policy_value,delta_hajek_policy_value_ci_low,delta_hajek_policy_value_ci_high,hajek_policy_value_conclusion,delta_hajek_incremental_per_1000_targeted,delta_hajek_incremental_per_1000_ci_low,delta_hajek_incremental_per_1000_ci_high,hajek_incremental_conclusion,valid_policy_value_bootstrap_reps,valid_incremental_bootstrap_reps,valid_hajek_policy_value_bootstrap_reps,valid_hajek_incremental_bootstrap_reps
s_learner,response,0.01,0.01,3.332944489809397e-05,-9.752928073212275e-05,0.00016333457346240748,0.686,inconclusive,3.332944489809435,-9.372334262725325,16.25107032280867,0.688,inconclusive,3.311096794376533e-05,-9.732115643929934e-05,0.00016276336448598058,inconclusive,2.616110670343936,-12.21427242581727,16.594012685766288,inconclusive,1000,1000,1000,1000
s_learner,response,0.02,0.02,5.868749879302335e-06,-0.00011279844393165496,0.0001262418808678472,0.545,inconclusive,0.2934374939651221,-5.615794643506226,6.352602312743864,0.551,inconclusive,4.992506010909493e-06,-0.00011259762522615593,0.0001251120096462093,inconclusive,-0.4039449901030032,-7.52037486617025,6.530515088734081,inconclusive,1000,1000,1000,1000
s_learner,response,0.1,0.1,-0.00018533910511938853,-0.00035534009974451256,-1.8402353655937632e-05,0.016,worse,-1.8533910511938876,-3.5631205642501045,-0.1665187966784639,0.014,worse,-0.00017241203995960273,-0.0003412129519737299,-3.3920658855244603e-06,worse,-0.8477487305386475,-2.63797326314681,1.0659648439782092,inconclusive,1000,1000,1000,1000
s_learner,response,0.11,0.11,-0.00019808675292502234,-0.00036864744638445343,-2.9086682482914013e-05,0.009,worse,-1.8007886629547487,-3.3288446621383514,-0.26172551084712115,0.009,worse,-0.00018351829878393957,-0.00035110182463720714,-1.701591682834614e-05,worse,-0.8626402314480321,-2.5323989438374905,0.7926334979160128,inconclusive,1000,1000,1000,1000
s_learner,response,0.12,0.12,-0.00021377563775612377,-0.00037608859200850646,-6.0487882096220136e-05,0.005,worse,-1.7814636479677004,-3.162158574816189,-0.4955637386286813,0.005,worse,-0.00019958916872691874,-0.00036534581850182095,-4.648044738581293e-05,worse,-1.0180734158581917,-2.4860670744697173,0.4152305218577387,inconclusive,1000,1000,1000,1000
s_learner,response,0.2,0.2,-0.00018437699167307264,-0.0003851268586814922,-3.4930548862793855e-07,0.025,worse,-0.9218849583653648,-1.925945194343589,0.012910016974879333,0.027,inconclusive,-0.00016681823814246148,-0.0003609826458966238,1.632959582632039e-05,inconclusive,-0.5912142664910243,-1.583433289744474,0.38618179129284025,inconclusive,1000,1000,1000,1000
s_learner,response,0.4,0.4,-0.0002569252176060151,-0.0004528230775444288,-8.049413782643017e-05,0.007,worse,-0.6423130440150375,-1.1337602990219737,-0.19649850494663568,0.007,worse,-0.00022757832448503084,-0.0004275863737938253,-4.7828364488477544e-05,worse,-0.5139580513640796,-1.0164317372652738,-0.04742829517961085,worse,1000,1000,1000,1000
s_learner,response,0.44,0.44,-0.00024516026950414244,-0.00043838571406292816,-6.62058286779054e-05,0.007,worse,-0.5571824306912332,-0.9941805324644869,-0.14497933278010416,0.008,worse,-0.00021988173748872146,-0.0004146970817039006,-3.700124643528755e-05,worse,-0.46582055375017606,-0.9189907513008677,-0.045556956364958524,worse,1000,1000,1000,1000
s_learner,response,0.6,0.6,-0.00027358994005506274,-0.0004595324574024078,-9.806736640353625e-05,0.004,worse,-0.4559832334251046,-0.7656918073345002,-0.16205680489501267,0.004,worse,-0.00025324454507089306,-0.0004382694851592731,-7.792480190053257e-05,worse,-0.4177262204208114,-0.7248733950378035,-0.12299912618996238,worse,1000,1000,1000,1000
s_learner,response,0.8,0.8,-0.00024122947068909873,-0.0004074592648874848,-7.185194436842756e-05,0.005,worse,-0.3015368383613729,-0.5108985929687645,-0.08951333151253467,0.005,worse,-0.00022026139274600393,-0.0003876427942823023,-4.8133918027974814e-05,worse,-0.28149327219489995,-0.4888937785141686,-0.06886183490751997,worse,1000,1000,1000,1000
