policy,score_decile,rows,treated,control,treatment_share,treated_outcome_rate,control_outcome_rate,ht_uplift_per_1000,ht_uplift_ci_low,ht_uplift_ci_high,hajek_uplift_per_1000,hajek_uplift_ci_low,hajek_uplift_ci_high,valid_ht_bootstrap_reps,valid_hajek_bootstrap_reps
response,1,40000,34584,5416,0.8646,0.026428406199398565,0.019017725258493354,9.74377803511876,6.140817947504061,13.466447309990278,7.410680940905211,3.3577150518041363,11.43465710096716,1000,1000
response,2,40000,34008,5992,0.8502,0.0019701246765466947,0.0016688918558077437,0.306504097496116,-0.9737173344574324,1.3679501482247227,0.30123282073895097,-0.9536312436515875,1.3634506312324601,1000,1000
response,3,40000,33967,6033,0.849175,0.000736008478817676,0.0004972650422675286,0.2361015221092767,-0.41044284631910727,0.8088692073570657,0.2387434365501474,-0.4041832791400337,0.8085490575897473,1000,1000
response,4,40000,33911,6089,0.847775,0.0005602901713308366,0.00032846115946789294,0.22604401133972826,-0.3717577120756866,0.705066290951649,0.2318290118629437,-0.36608358672324504,0.7076942584480188,1000,1000
response,5,40000,34027,5973,0.850675,0.0002057189878625797,0.00016742005692281934,0.03947593788392436,-0.3819444987333041,0.3238799932582688,0.03829893093976037,-0.38816191966667557,0.32317963304290975,1000,1000
response,6,40000,33805,6195,0.845125,0.00017748853719863926,0.0,0.1765105626862554,0.05877279093569487,0.3250509450422595,0.17748853719863925,0.059052270297532655,0.32790042834100663,1000,1000
response,7,40000,33929,6071,0.848225,8.841993574818003e-05,0.0,0.0882552813431277,0.0,0.20725406197221258,0.08841993574818002,0.0,0.20781935733656823,1000,1000
response,8,40000,33949,6051,0.848725,0.00011782379451530237,0.00016526194017517766,-0.04877934345920334,-0.43784465209307977,0.20711696211364533,-0.04743814565987529,-0.42658103319678214,0.2073619439382757,1000,1000
response,9,40000,33827,6173,0.845675,5.912436810831584e-05,0.0,0.058836854228751796,0.0,0.14733242787127723,0.05912436810831584,0.0,0.1480735680165181,1000,1000
response,10,40000,33916,6084,0.8479,2.948460903408421e-05,0.0,0.029418427114375898,0.0,0.08904482298741383,0.02948460903408421,0.0,0.089306048663998,1000,1000
s_learner,1,40000,34081,5919,0.852025,0.021214166250990287,0.014022638959283663,7.453919494607101,4.185238199164257,10.710041452888575,7.191527291706624,3.7177752374043513,10.370734929033963,1000,1000
s_learner,2,40000,33980,6020,0.8495,0.0003531489111241907,0.00016611295681063124,0.18656807345580384,-0.26563199868994675,0.5018923249014295,0.18703595431355946,-0.26426755987481515,0.5013640092677593,1000,1000
s_learner,3,40000,33957,6043,0.848925,0.0004417351356126866,0.00033096144299189144,0.10837030288222467,-0.4750595803676886,0.5460899709947136,0.11077369262079519,-0.4591678406481224,0.5411693978185379,1000,1000
s_learner,4,40000,33916,6084,0.8479,0.00014742304517042105,0.0001643655489809336,-0.01936091634482744,-0.44200972086039697,0.2367438729099532,-0.016942503810512557,-0.43686162988298544,0.23781584213303875,1000,1000
s_learner,5,40000,33854,6146,0.84635,0.0001772316417557748,0.00048812235600390497,-0.32284859306386543,-0.9031948972951181,0.1874530491434939,-0.3108907142481302,-0.8757505320424915,0.18820808488635238,1000,1000
s_learner,6,40000,33901,6099,0.847525,0.0003834695141736232,0.0,0.3824395524868867,0.17854044696461388,0.6155216150083194,0.38346951417362324,0.17946331276242114,0.6170613152364522,1000,1000
s_learner,7,40000,34025,5975,0.850625,0.00014695077149155033,0.0,0.1470921355718795,0.029441861948168925,0.2938380942297634,0.14695077149155034,0.029407310385595298,0.2932564221704114,1000,1000
s_learner,8,40000,33968,6032,0.8492,0.0008537447008949599,0.00016578249336870026,0.6866813344001942,0.1955720313908447,1.1501331646269073,0.6879622075262597,0.19863413255994425,1.1515258950296277,1000,1000
s_learner,9,40000,33869,6131,0.846725,0.000679087070772683,0.0004893165878323275,0.17726466788052492,-0.45939731023270575,0.7682803933433691,0.18977048294035548,-0.4376860518284099,0.7756002551867566,1000,1000
s_learner,10,40000,34372,5628,0.8593,0.006313278249738159,0.004619758351101635,2.0560193339851898,0.18476591800598965,3.8807471689242643,1.6935198986365247,-0.2502052762204093,3.6220425611252507,1000,1000
t_learner,1,40000,34502,5498,0.86255,0.02194075705756188,0.016187704619861767,7.45542770499564,4.093842503893606,10.739942960361525,5.753052437700114,2.0827637211241394,9.256651133203787,1000,1000
t_learner,2,40000,34036,5964,0.8509,0.001968503937007874,0.0013413816230717639,0.63941020132953,-0.4530154173486076,1.6440623982881202,0.6271223139361101,-0.4437597255474822,1.6503187666950858,1000,1000
t_learner,3,40000,33958,6042,0.84895,0.0007362035455562754,0.0,0.7354606778593976,0.4715238202627233,1.0309411425373323,0.7362035455562754,0.47172453661683333,1.032919902769154,1000,1000
t_learner,4,40000,33992,6008,0.8498,0.0003530242409978819,0.00033288948069241014,0.02011502153909692,-0.5619999036528465,0.43964625845038197,0.020134760305471733,-0.5594040493859036,0.44079795117439036,1000,1000
t_learner,5,40000,33737,6263,0.843425,0.00023712837537421822,0.0001596678907871627,0.06889436499830026,-0.35059439665871445,0.35506846709928613,0.07746048458705553,-0.3310072581560122,0.3573754135653506,1000,1000
t_learner,6,40000,33862,6138,0.84655,0.00023625302699190835,0.00032583903551645487,-0.09755868691840668,-0.6445849278112117,0.29653801390111956,-0.08958600852454653,-0.6177085009438703,0.2980442686938204,1000,1000
t_learner,7,40000,33940,6060,0.8485,0.0001473187978786093,0.0,0.1470921355718795,0.02940246232169343,0.29426086432612303,0.1473187978786093,0.029439364125280892,0.2950550978575963,1000,1000
t_learner,8,40000,33900,6100,0.8475,0.00011799410029498526,0.0,0.11767370845750359,0.02929559647915655,0.23665311485125035,0.11799410029498526,0.02937703072678759,0.23763764491545536,1000,1000
t_learner,9,40000,33998,6002,0.84995,8.824048473439615e-05,0.0,0.0882552813431277,0.0,0.20585899954345216,0.08824048473439615,0.0,0.20592111567520377,1000,1000
t_learner,10,40000,33998,6002,0.84995,0.004676745690922995,0.002999000333222259,1.6813749766850437,-0.014773541442247804,3.2793057543652346,1.6777453577007362,-0.0056063972050735605,3.2412182155253086,1000,1000
