policy,budget,targeted_count,actual_budget,targeted_treated_count,targeted_treated_outcome_rate,targeted_treated_outcome_rate_ci_low,targeted_treated_outcome_rate_ci_high,policy_value_estimator,policy_value,policy_value_ci_low,policy_value_ci_high,gain_vs_treat_none,gain_ci_low,gain_ci_high,incremental_outcomes_per_1000_targeted,incremental_per_1000_ci_low,incremental_per_1000_ci_high,hajek_policy_value,hajek_policy_value_ci_low,hajek_policy_value_ci_high,hajek_gain_vs_treat_none,hajek_gain_ci_low,hajek_gain_ci_high,hajek_incremental_outcomes_per_1000_targeted,hajek_incremental_per_1000_ci_low,hajek_incremental_per_1000_ci_high,treat_none_value,treat_all_value,valid_value_bootstrap_reps,valid_gain_bootstrap_reps,valid_incremental_bootstrap_reps,valid_rate_bootstrap_reps,valid_hajek_value_bootstrap_reps,valid_hajek_gain_bootstrap_reps,valid_hajek_incremental_bootstrap_reps
expected_random,0.01,4000,0.01,,,,,horvitz_thompson,0.0020082927683863438,0.0016659703187470304,0.0023522139012127907,1.0856145385861115e-05,6.790532335617381e-06,1.4638312997599985e-05,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.0020082927683863438,0.0016659703187470304,0.0023522139012127907,1.0856145385861115e-05,6.790532335617381e-06,1.4638312997599985e-05,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,0.02,8000,0.02,,,,,horvitz_thompson,0.002019148913772205,0.0016809087380811683,0.002360510109169763,2.171229077172223e-05,1.3581064671234762e-05,2.927662599519997e-05,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.002019148913772205,0.0016809087380811683,0.002360510109169763,2.171229077172223e-05,1.3581064671234762e-05,2.927662599519997e-05,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,0.1,40000,0.1,,,,,horvitz_thompson,0.002105998076859094,0.0018004695456435643,0.002426285348084031,0.00010856145385861114,6.790532335617381e-05,0.00014638312997599986,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.002105998076859094,0.0018004695456435643,0.002426285348084031,0.00010856145385861114,6.790532335617381e-05,0.00014638312997599986,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,0.11,44000,0.11,,,,,horvitz_thompson,0.002116854222244955,0.0018154258086265599,0.0024333460193200797,0.00011941759924447225,7.469585569179119e-05,0.00016102144297359985,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.002116854222244955,0.0018154258086265599,0.0024333460193200797,0.00011941759924447225,7.469585569179119e-05,0.00016102144297359985,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,0.12,48000,0.12,,,,,horvitz_thompson,0.002127710367630816,0.0018296680818843394,0.0024397349911244046,0.00013027374463033336,8.148638802740857e-05,0.00017565975597119983,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.002127710367630816,0.0018296680818843394,0.0024397349911244046,0.00013027374463033336,8.148638802740857e-05,0.00017565975597119983,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,0.2,80000,0.2,,,,,horvitz_thompson,0.002214559530717705,0.0019419795672841248,0.0025007145402910465,0.00021712290771722228,0.00013581064671234762,0.0002927662599519997,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.002214559530717705,0.0019419795672841248,0.0025007145402910465,0.00021712290771722228,0.00013581064671234762,0.0002927662599519997,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,0.4,160000,0.4,,,,,horvitz_thompson,0.0024316824384349274,0.002217151744973838,0.0026502235530183466,0.00043424581543444456,0.00027162129342469523,0.0005855325199039995,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.0024316824384349274,0.002217151744973838,0.0026502235530183466,0.00043424581543444456,0.00027162129342469523,0.0005855325199039995,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,0.44,176000,0.44,,,,,horvitz_thompson,0.0024751070199783716,0.0022725662423585917,0.002684852397069077,0.000477670396977889,0.00029878342276716476,0.0006440857718943994,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.0024751070199783716,0.0022725662423585917,0.002684852397069077,0.000477670396977889,0.00029878342276716476,0.0006440857718943994,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,0.6,240000,0.6,,,,,horvitz_thompson,0.0026488053461521496,0.0024761304212456126,0.0028308123287153542,0.0006513687231516668,0.00040743194013704285,0.0008782987798559991,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.0026488053461521496,0.0024761304212456126,0.0028308123287153542,0.0006513687231516668,0.00040743194013704285,0.0008782987798559991,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,0.8,320000,0.8,,,,,horvitz_thompson,0.002865928253869372,0.00270369433250504,0.0030355063854816734,0.0008684916308688891,0.0005432425868493905,0.001171065039807999,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.002865928253869372,0.00270369433250504,0.0030355063854816734,0.0008684916308688891,0.0005432425868493905,0.001171065039807999,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
expected_random,1.0,400000,1.0,,,,,horvitz_thompson,0.003083051161586594,0.0028995640250552225,0.0032782520266419844,0.0010856145385861114,0.0006790532335617381,0.0014638312997599986,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.003083051161586594,0.0028995640250552225,0.0032782520266419844,0.0010856145385861114,0.0006790532335617381,0.0014638312997599986,1.0856145385861113,0.6790532335617381,1.4638312997599985,0.001997436623000483,0.0030830511615865946,1000,1000,1000,0,1000,1000,1000
response,0.01,4000,0.01,3475.0,0.15568345323741006,0.14363258928353947,0.1680732518963553,horvitz_thompson,0.0024404474716629414,0.002178552014160361,0.002697991526777696,0.0004430108486624584,0.00012797533195150478,0.0007426862681736507,44.301084866245844,12.651148088777218,73.73377244055791,0.002436830926542776,0.0021758352704720884,0.002694271751950857,0.00043939430354229337,0.00012598820566446105,0.0007377096381374141,24.25488180883864,-7.445156103830439,55.12511439756122,0.001997436623000483,0.0030830511615865946,1000,1000,1000,1000,1000,1000,1000
response,0.02,8000,0.02,6914.0,0.0963262944749783,0.08946550233097836,0.10344890227462929,horvitz_thompson,0.0026084341482925876,0.0023553276360344516,0.0028613109670816337,0.0006109975252921048,0.00028156095968420665,0.0009171561535573462,30.54987626460524,14.0472747244621,45.756489753940066,0.002602544332637085,0.002349821382991172,0.0028533746076788596,0.0006051077096366022,0.0002771196877376785,0.0009106548682604593,21.740659115862275,3.5109961066865623,37.98078571576011,0.001997436623000483,0.0030830511615865946,1000,1000,1000,1000,1000,1000,1000
