policy,score_decile,rows,treated,control,treatment_share,treated_outcome_rate,control_outcome_rate,ht_uplift_per_1000,ht_uplift_ci_low,ht_uplift_ci_high,hajek_uplift_per_1000,hajek_uplift_ci_low,hajek_uplift_ci_high,valid_ht_bootstrap_reps,valid_hajek_bootstrap_reps
response,1,40000,34439,5561,0.860975,0.02517494700775284,0.017802553497572378,9.002449786251915,5.354626533094595,12.572031311623764,7.372393510180462,3.4940460829025795,11.043991571141909,1000,1000
response,2,40000,33942,6058,0.84855,0.0017087973602026988,0.001650709805216243,0.039445229866778675,-1.0277454211373065,1.0771371476845297,0.058087554986455736,-1.003051338833952,1.0955546452345717,1000,1000
response,3,40000,34164,5836,0.8541,0.0007317644303945674,0.0,0.7353092563670429,0.4684390180025612,1.004099289336372,0.7317644303945674,0.4665355526322185,1.0000102983581474,1000,1000
response,4,40000,33934,6066,0.84835,0.00029468969175458243,0.00016485328058028355,0.12747647805634107,-0.32122422384802374,0.4442384322318047,0.1298364111742989,-0.31313834704926163,0.44459167473887395,1000,1000
response,5,40000,33905,6095,0.847625,0.0003539300988054859,0.0,0.35294844305618056,0.17469473270074345,0.5625277011819012,0.35393009880548587,0.17517260276189534,0.5643065377675969,1000,1000
response,6,40000,33888,6112,0.8472,8.852691218130312e-05,0.0001636125654450262,-0.07841011372643095,-0.47119567547988467,0.1490718901504674,-0.07508565326372307,-0.46238511300478397,0.14975749953306536,1000,1000
response,7,40000,33941,6059,0.848525,8.838867446451195e-05,0.0,0.08823711076404514,0.0,0.20566423836114622,0.08838867446451194,0.0,0.205782655305177,1000,1000
response,8,40000,33827,6173,0.845675,0.00011824873621663168,0.0,0.11764948101872685,0.029185265317948968,0.236184224586356,0.11824873621663168,0.029307185566120216,0.23734735704135643,1000,1000
response,9,40000,33944,6056,0.8486,8.838086259721895e-05,0.0,0.08823711076404514,0.0,0.20425331836612304,0.08838086259721895,0.0,0.2047751299604378,1000,1000
response,10,40000,34009,5991,0.850225,5.8807962598135785e-05,0.00016691704223001168,-0.10782248398111265,-0.5131712106854891,0.11809995467188864,-0.1081090796318759,-0.5156430049844927,0.11813741602833751,1000,1000
s_learner,1,40000,34212,5788,0.8553,0.02051911609961417,0.013994471319972357,7.149058735058,3.654027076190014,10.5013195286801,6.5246447796418146,2.943871627723327,9.98596356863453,1000,1000
s_learner,2,40000,33847,6153,0.846175,0.0003840813070582326,0.00032504469364537625,0.049066364329910114,-0.5099641078571935,0.47082186513572677,0.05903661341285637,-0.48635473669662105,0.4725960768706584,1000,1000
s_learner,3,40000,33989,6011,0.849725,0.00026479155020742005,0.0,0.26471133229213545,0.1171652778659938,0.47076787192639746,0.26479155020742007,0.11695333812502491,0.47053668504922336,1000,1000
s_learner,4,40000,33898,6102,0.84745,0.00020650185851672664,0.00032776138970829236,-0.12740785719818018,-0.7158404375493825,0.2666008504586432,-0.12125953119156573,-0.6987986278109934,0.26736657406756825,1000,1000
