policy,auuc,qini_coefficient,ate_curve_endpoint,auuc_ci_low,auuc_ci_high,qini_ci_low,qini_ci_high,valid_bootstrap_reps
expected_random,0.0005182760149218766,0.0,0.0010365520298437532,0.0003269861854846199,0.0007010667430165188,0.0,0.0,1000.0
response,0.0009680351253226392,0.00044975911040076263,0.0010365520298437532,0.0006050191130257806,0.0013150942463090115,0.00026902098505970104,0.0006272802307464682,1000.0
s_learner,0.0007554439134995121,0.00023716789857763552,0.0010365520298437532,0.0003943783791657367,0.0010815135491985455,4.0395217906191127e-05,0.0004173279447073109,1000.0
t_learner,0.0009234083555482299,0.0004051323406263533,0.0010365520298437532,0.0005858851106574989,0.0012586998570318815,0.00022341832295402848,0.0005878629771266705,1000.0
